N,V,N_dv_0,V_dv_0,N_dn_0,V_dn_0,Ndt,Vdt,N_y_dt,V_x_dt
-0.05,-0.15,0.055,-0.15,-0.05,-0.15,2.77556e-17,0.110375,-0.05,-0.15
-0.05,-0.039625,0.06,-0.15,-0.045,-0.14,-0.03,0.100375,-0.04,-0.15
-0.0499995,0.0201464,0.065,-0.15,-0.045,-0.13,-0.06,0.090375,-0.03,-0.15
-0.0499985,0.066396,0.07,-0.15,-0.04,-0.13,-0.09,0.080375,-0.02,-0.15
-0.049997,0.107814,0.045,-0.14,-0.04,-0.12,-0.12,0.070375,-0.01,-0.15
-0.0499951,0.148547,0.05,-0.14,-0.035,-0.11,-0.15,0.060375,3.46945e-18,-0.15
-0.0499926,0.191539,0.055,-0.14,-0.035,-0.1,-0.18,0.050375,0.01,-0.15
-0.0499898,0.239629,0.06,-0.14,-0.03,-0.1,-0.21,0.040375,0.02,-0.15
-0.0499864,0.296149,0.04,-0.13,-0.03,-0.09,-0.24,0.030375,0.03,-0.15
-0.0499826,0.365391,0.045,-0.13,-0.025,-0.08,-0.27,0.020375,0.04,-0.15
-0.0499784,0.452842,0.05,-0.13,-0.025,-0.07,-0.3,0.010375,0.05,-0.15
-0.0499737,0.564491,0.055,-0.13,-0.02,-0.07,-0.33,0.000375,0.06,-0.15
-0.0499686,0.702997,0.035,-0.12,-0.02,-0.06,-0.36,-0.009625,0.07,-0.15
-0.0499631,0.856819,0.04,-0.12,-0.015,-0.05,-0.39,-0.019625,0.08,-0.15
-0.0499571,0.986098,0.045,-0.12,-0.015,-0.04,-0.42,-0.029625,0.09,-0.15
-0.0499508,1.04547,0.05,-0.12,-0.01,-0.04,-0.45,-0.039625,0.1,-0.15
-0.049944,1.05378,0.03,-0.11,-0.01,-0.03,-0.48,-0.049625,0.11,-0.15
-0.0499368,1.05379,0.035,-0.11,-0.005,-0.02,-0.51,-0.059625,0.12,-0.15
-0.0499293,1.05369,0.04,-0.11,-0.005,-0.01,-0.54,-0.069625,0.13,-0.15
-0.0499214,1.05359,0.045,-0.11,-5.20417e-18,-0.01,-0.57,-0.079625,0.14,-0.15
-0.049913,1.05349,0.025,-0.1,-5.20417e-18,3.46945e-18,-0.6,-0.089625,0.15,-0.15
-0.0499043,1.05339,0.03,-0.1,0.005,0.01,0.05,0.083,-0.05,-0.1
-0.0498953,1.05329,0.035,-0.1,0.005,0.02,0.02,0.073,-0.04,-0.1
-0.0498858,1.05319,0.04,-0.1,0.01,0.02,-0.01,0.063,-0.03,-0.1
-0.0498761,1.05309,0.02,-0.09,0.01,0.03,-0.04,0.053,-0.02,-0.1
-0.0498659,1.05299,0.025,-0.09,0.015,0.04,-0.07,0.043,-0.01,-0.1
-0.0498554,1.05289,0.03,-0.09,0.015,0.05,-0.1,0.033,3.46945e-18,-0.1
-0.0498446,1.05279,0.035,-0.09,0.02,0.05,-0.13,0.023,0.01,-0.1
-0.0498334,1.05269,0.015,-0.08,0.02,0.06,-0.16,0.013,0.02,-0.1
-0.0498219,1.05259,0.02,-0.08,0.025,0.07,-0.19,0.003,0.03,-0.1
-0.0498101,1.05249,0.025,-0.08,0.025,0.08,-0.22,-0.007,0.04,-0.1
-0.0497979,1.05239,0.03,-0.08,0.03,0.08,-0.25,-0.017,0.05,-0.1
-0.0497855,1.05229,0.015,-0.07,0.03,0.09,-0.28,-0.027,0.06,-0.1
-0.0497727,1.05219,0.02,-0.07,0.03,0.1,-0.31,-0.037,0.07,-0.1
-0.0497596,1.05209,0.025,-0.07,0.035,0.1,-0.34,-0.047,0.08,-0.1
-0.0497462,1.05199,0.03,-0.07,0.035,0.11,-0.37,-0.057,0.09,-0.1
-0.0497325,1.05189,0.01,-0.06,0.04,0.11,-0.4,-0.067,0.1,-0.1
-0.0497185,1.05179,0.015,-0.06,0.04,0.12,-0.43,-0.077,0.11,-0.1
-0.0497042,1.05169,0.02,-0.06,0.04,0.13,-0.46,-0.087,0.12,-0.1
-0.0496897,1.05159,0.025,-0.06,0.045,0.13,-0.49,-0.097,0.13,-0.1
-0.0496748,1.05149,0.005,-0.05,0.045,0.14,-0.52,-0.107,0.14,-0.1
-0.0496597,1.05139,0.01,-0.05,0.05,0.14,-0.55,-0.117,0.15,-0.1
