V,K_I,Na_I,L_I,HCN_I
0,4.95571e-15,-1.12633e-11,-3.18,7e-05
0.00317993,7.93127e-14,-1.79103e-10,-3.17905,0.000140426
0.00635884,4.01628e-13,-9.0113e-10,-3.17809,0.000211277
0.00953672,1.26968e-12,-2.83052e-09,-3.17714,0.000282553
0.0127136,3.10065e-12,-6.86802e-09,-3.17619,0.000354254
0.0158894,6.43123e-12,-1.41542e-08,-3.17523,0.000426379
0.0190642,1.19178e-11,-2.60617e-08,-3.17428,0.000498928
0.022238,2.03367e-11,-4.41881e-08,-3.17333,0.0005719
0.0254108,3.25842e-11,-7.0348e-08,-3.17238,0.000645295
0.0285825,4.96767e-11,-1.06567e-07,-3.17143,0.000719113
0.0317532,7.27511e-11,-1.55072e-07,-3.17047,0.000793353
0.0349229,1.03065e-10,-2.18289e-07,-3.16952,0.000868015
0.0380915,1.41995e-10,-2.98833e-07,-3.16857,0.000943099
0.0412592,1.91042e-10,-3.995e-07,-3.16762,0.0010186
0.0444258,2.51824e-10,-5.23266e-07,-3.16667,0.00109453
0.0475913,3.26082e-10,-6.73276e-07,-3.16572,0.00117087
0.0507559,4.15679e-10,-8.52838e-07,-3.16477,0.00124764
0.0539194,5.22597e-10,-1.06542e-06,-3.16382,0.00132482
0.0570819,6.48943e-10,-1.31465e-06,-3.16288,0.00140243
0.0602434,7.96943e-10,-1.60428e-06,-3.16193,0.00148045
0.0634038,9.68946e-10,-1.93824e-06,-3.16098,0.00155889
0.0665633,1.16742e-09,-2.32056e-06,-3.16003,0.00163775
0.0697217,1.39496e-09,-2.75541e-06,-3.15908,0.00171703
0.072879,1.65429e-09,-3.24711e-06,-3.15814,0.00179672
0.0760354,1.94823e-09,-3.80007e-06,-3.15719,0.00187683
0.0791907,2.27976e-09,-4.41883e-06,-3.15624,0.00195736
0.082345,2.65195e-09,-5.10803e-06,-3.1553,0.0020383
0.0854982,3.06801e-09,-5.87243e-06,-3.15435,0.00211966
0.0886505,3.53127e-09,-6.71688e-06,-3.1534,0.00220144
0.0918017,4.04518e-09,-7.64634e-06,-3.15246,0.00228363
0.0949519,4.61332e-09,-8.66584e-06,-3.15151,0.00236623
0.098101,5.23938e-09,-9.78052e-06,-3.15057,0.00244925
0.101249,5.9272e-09,-1.09956e-05,-3.14963,0.00253268
0.104396,6.68072e-09,-1.23163e-05,-3.14868,0.00261652
0.107542,7.50401e-09,-1.37482e-05,-3.14774,0.00270078
0.110687,8.40127e-09,-1.52965e-05,-3.14679,0.00278545
0.113831,9.37681e-09,-1.69668e-05,-3.14585,0.00287053
0.116974,1.04351e-08,-1.87647e-05,-3.14491,0.00295603
0.120116,1.15807e-08,-2.06957e-05,-3.14397,0.00304193
0.123257,1.28182e-08,-2.27657e-05,-3.14302,0.00312825
0.126397,1.41526e-08,-2.49804e-05,-3.14208,0.00321497
0.129536,1.55888e-08,-2.73455e-05,-3.14114,0.00330211
0.132674,1.71317e-08,-2.98668e-05,-3.1402,0.00338966
0.135811,1.87867e-08,-3.25504e-05,-3.13926,0.00347761
0.138947,2.0559e-08,-3.5402e-05,-3.13832,0.00356598
0.142081,2.24541e-08,-3.84277e-05,-3.13738,0.00365475
0.145215,2.44776e-08,-4.16334e-05,-3.13644,0.00374394
0.148348,2.66351e-08,-4.50252e-05,-3.1355,0.00383353
0.15148,2.89326e-08,-4.86092e-05,-3.13456,0.00392353
0.15461,3.13758e-08,-5.23914e-05,-3.13362,0.00401393
0.15774,3.39709e-08,-5.63779e-05,-3.13268,0.00410474
0.160869,3.67242e-08,-6.05748e-05,-3.13174,0.00419596
0.163996,3.96419e-08,-6.49884e-05,-3.1308,0.00428758
0.167123,4.27305e-08,-6.96247e-05,-3.12986,0.00437961
0.170248,4.59965e-08,-7.449e-05,-3.12893,0.00447205
0.173373,4.94468e-08,-7.95904e-05,-3.12799,0.00456489
0.176496,5.30881e-08,-8.49321e-05,-3.12705,0.00465813
0.179619,5.69274e-08,-9.05213e-05,-3.12611,0.00475178
0.18274,6.09718e-08,-9.63643e-05,-3.12518,0.00484584
0.185861,6.52284e-08,-0.000102467,-3.12424,0.00494029
0.18898,6.97048e-08,-0.000108836,-3.12331,0.00503515
0.192099,7.44082e-08,-0.000115478,-3.12237,0.00513041
0.195216,7.93465e-08,-0.000122398,-3.12144,0.00522607
0.198332,8.45271e-08,-0.000129602,-3.1205,0.00532214
0.201447,8.99582e-08,-0.000137098,-3.11957,0.00541861
0.204562,9.56475e-08,-0.000144891,-3.11863,0.00551547
0.207675,1.01603e-07,-0.000152987,-3.1177,0.00561274
0.210787,1.07834e-07,-0.000161393,-3.11676,0.00571041
0.213898,1.14347e-07,-0.000170114,-3.11583,0.00580848
0.217009,1.21152e-07,-0.000179157,-3.1149,0.00590695
0.220118,1.28258e-07,-0.000188528,-3.11396,0.00600582
0.223226,1.35672e-07,-0.000198232,-3.11303,0.00610508
0.226333,1.43404e-07,-0.000208277,-3.1121,0.00620475
0.229439,1.51463e-07,-0.000218668,-3.11117,0.00630481
0.232544,1.59859e-07,-0.000229411,-3.11024,0.00640527
0.235648,1.68599e-07,-0.000240512,-3.10931,0.00650613
0.238751,1.77694e-07,-0.000251977,-3.10837,0.00660738
0.241853,1.87154e-07,-0.000263813,-3.10744,0.00670903
0.244954,1.96987e-07,-0.000276024,-3.10651,0.00681108
0.248054,2.07204e-07,-0.000288617,-3.10558,0.00691352
0.251153,2.17815e-07,-0.000301598,-3.10465,0.00701636
0.254251,2.2883e-07,-0.000314973,-3.10372,0.0071196
0.257348,2.40259e-07,-0.000328746,-3.1028,0.00722322
0.260444,2.52112e-07,-0.000342926,-3.10187,0.00732725
0.263539,2.644e-07,-0.000357516,-3.10094,0.00743166
0.266633,2.77133e-07,-0.000372522,-3.10001,0.00753647
0.269726,2.90322e-07,-0.000387951,-3.09908,0.00764168
0.272818,3.03978e-07,-0.000403808,-3.09815,0.00774727
0.275908,3.18112e-07,-0.000420099,-3.09723,0.00785326
0.278998,3.32735e-07,-0.000436828,-3.0963,0.00795964
0.282087,3.47859e-07,-0.000454003,-3.09537,0.00806641
0.285175,3.63494e-07,-0.000471627,-3.09445,0.00817358
0.288261,3.79652e-07,-0.000489707,-3.09352,0.00828113
0.291347,3.96345e-07,-0.000508248,-3.0926,0.00838908
