V,K_I,Na_I,L_I,Cl_I
0,4.95571e-15,-1.12633e-11,-3.18,2.44281
0.00173719,7.92899e-14,-1.79084e-10,-3.17948,2.39446
0.00352222,4.014e-13,-9.00948e-10,-3.17894,2.39595
0.00530521,1.26861e-12,-2.82966e-09,-3.17841,2.39644
0.00708718,3.09716e-12,-6.86524e-09,-3.17787,2.39695
0.0088681,6.42219e-12,-1.4147e-08,-3.17734,2.39747
0.010648,1.18978e-11,-2.60459e-08,-3.17681,2.39798
0.0124268,2.02968e-11,-4.41566e-08,-3.17627,2.39849
0.0142046,3.25113e-11,-7.02906e-08,-3.17574,2.399
0.0159813,4.95517e-11,-1.06468e-07,-3.17521,2.39951
0.017757,7.25479e-11,-1.54913e-07,-3.17467,2.40002
0.0195317,1.02748e-10,-2.18042e-07,-3.17414,2.40053
0.0213053,1.4152e-10,-2.98462e-07,-3.17361,2.40104
0.0230778,1.90349e-10,-3.98962e-07,-3.17308,2.40155
0.0248494,2.50841e-10,-5.22504e-07,-3.17255,2.40206
0.0266198,3.24719e-10,-6.72222e-07,-3.17201,2.40257
0.0283893,4.13826e-10,-8.5141e-07,-3.17148,2.40308
0.0301577,5.20124e-10,-1.06352e-06,-3.17095,2.40359
0.0319251,6.45692e-10,-1.31215e-06,-3.17042,2.4041
0.0336914,7.9273e-10,-1.60106e-06,-3.16989,2.40461
0.0354567,9.63556e-10,-1.93412e-06,-3.16936,2.40511
0.0372209,1.16061e-09,-2.31537e-06,-3.16883,2.40562
0.0389841,1.38643e-09,-2.74894e-06,-3.1683,2.40613
0.0407463,1.64372e-09,-3.2391e-06,-3.16778,2.40664
0.0425075,1.93525e-09,-3.79026e-06,-3.16725,2.40714
0.0442676,2.26393e-09,-4.4069e-06,-3.16672,2.40765
0.0460266,2.63281e-09,-5.09365e-06,-3.16619,2.40816
0.0477847,3.04502e-09,-5.8552e-06,-3.16566,2.40866
0.0495417,3.50383e-09,-6.69638e-06,-3.16514,2.40917
0.0512977,4.01264e-09,-7.62208e-06,-3.16461,2.40967
0.0530526,4.57494e-09,-8.63731e-06,-3.16408,2.41018
0.0548065,5.19436e-09,-9.74713e-06,-3.16356,2.41068
0.0565594,5.87464e-09,-1.09567e-05,-3.16303,2.41119
0.0583113,6.61964e-09,-1.22713e-05,-3.16251,2.41169
0.0600621,7.43334e-09,-1.36962e-05,-3.16198,2.4122
